ID,RA,Dec,mstar,dmstar,SFR,dSFR,mHI,dmHI
HRS273,193.33855,1.26931,10.12399959564209,0.09399999678134918,-0.272285,0.0129042,8.93,0.03911464288830757
HRS30,163.62938,17.28468,9.88700008392334,0.09799999743700027,0.0404396,0.0109059,9.12,0.05991928279399872
HRS294,204.00546,49.96061,9.805000305175781,0.0949999988079071,-0.239834,0.0133144,8.89,0.04998952895402908
HRS313,215.30475,3.43593,10.062000274658203,0.0949999988079071,-0.179329,0.0156106,9.05,0.06509999999999999
HRS293,201.58231,2.10095,9.58899974822998,0.09700000286102295,0.0442276,0.00852886,8.96,0.04788965359330177
HRS262,192.49106,5.31148,9.543999671936035,0.09600000083446503,0.0712624,0.00897135,9.51,0.0014220181619748473
HRS287,195.24443,-0.02743,9.817999839782715,0.0949999988079071,-0.0509186,0.0134827,8.99,0.054639264941215515
HRS51,170.93941,17.81837,9.704000473022461,0.09799999743700027,-0.0556679,0.0107598,9.31,0.04972254857420921
HRS5,156.61798,20.22766,10.109000205993652,0.09399999678134918,-0.223068,0.0144,8.2,0.06078827381134033
HRS37,166.01241,28.03672,9.840999603271484,0.09700000286102295,-0.0739136,0.0115047,8.84,0.00699999975040555
HRS53,171.10846,11.34219,9.807999610900879,0.09399999678134918,-0.12059,0.0107666,9.39,0.001648936071433127
HRS27,163.28366,33.91023,9.305000305175781,0.10000000149011612,0.0343399,0.0108206,8.62,0.04369127377867699
HRS19,162.10393,34.71154,9.913999557495117,0.0989999994635582,0.0443764,0.0109474,9.32,0.055077482014894485
HRS34,165.69746,17.98948,10.241000175476074,0.09399999678134918,-0.139515,0.0138174,9.14,0.07472847402095795
HRS260,192.41182,15.16569,10.779999732971191,0.09399999678134918,0.0678177,0.0114315,7.76,0.09041666239500046
HRS304,208.7433,5.3339,10.387999534606934,0.09399999678134918,-0.208218,0.0141867,8.64,0.016074074432253838
HRS59,172.09998,9.40762,10.37399959564209,0.09399999678134918,-0.081562,0.0157804,9.24,0.0075216637924313545
HRS86,181.90465,2.69068,9.842000007629395,0.09700000286102295,0.18317,0.0108792,9.54,0.06509999999999999
HRS28,163.58685,27.23968,9.762999534606934,0.09600000083446503,0.0342369,0.0093677,8.85,0.00787658803164959
HRS301,208.22714,-1.11449,10.362000465393066,0.09799999743700027,0.0723076,0.0132538,9.48,0.05015566200017929
HRS33,165.00998,14.84157,10.163999557495117,0.10000000149011612,0.0841789,0.0123114,9.41,0.0021326779387891293
HRS298,206.93748,38.30463,9.392999649047852,0.0949999988079071,0.0845642,0.00935247,8.98,0.06509999999999999
HRS320,218.35146,4.45056,10.031999588012695,0.10000000149011612,0.249687,0.0104472,9.68,0.001365638803690672
HRS310,215.0191,3.99253,10.095999717712402,0.09399999678134918,0.073204,0.0114527,9.01,0.010407673195004463
HRS63,174.20039,54.29343,10.300999641418457,0.09399999678134918,0.0495224,0.0122586,9.34,0.02023378200829029
HRS256,192.05754,-3.33316,9.800999641418457,0.0949999988079071,0.377941,0.00999642,8.46,0.06509999999999999
HRS297,206.603,46.10749,10.062000274658203,0.09399999678134918,0.0220642,0.0155763,9.55,0.03044283390045166
HRS55,171.79681,17.03011,9.923999786376953,0.0949999988079071,0.0982895,0.0109295,9.27,0.06509999999999999
HRS194,188.18965,0.11525,10.166000366210938,0.09399999678134918,0.020977,0.0112299,9.97,0.042268380522727966
HRS20,162.45874,32.9831,9.668000221252441,0.09700000286102295,0.35096,0.00895264,9.47,0.048145800828933716
HRS84,181.04802,10.85452,10.543000221252441,0.0989999994635582,0.143364,0.0186549,8.52,0.014863013289868832
HRS285,194.50497,1.57578,10.42199993133545,0.09399999678134918,0.143291,0.0127816,8.24,0.08335098624229431
HRS288,196.0547,-5.55148,10.45300006866455,0.0949999988079071,0.23484,0.014148,8.51,0.05053424462676048
HRS266,192.75496,-6.39282,10.27299976348877,0.09700000286102295,0.444584,0.0116216,10.15,0.021326856687664986
HRS31,163.66296,54.30555,9.892999649047852,0.09399999678134918,0.46674,0.00885186,9.77,0.06509999999999999
HRS60,173.45592,53.12546,10.140999794006348,0.0949999988079071,0.219261,0.0114977,9.47,0.01640314981341362
HRS263,192.61075,25.50079,11.01200008392334,0.0949999988079071,0.1292,0.0108225,9.91,0.001341161783784628
HRS8,157.33321,29.49174,10.881999969482422,0.09399999678134918,0.328175,0.0143327,9.66,0.026575874537229538
HRS24,163.04761,32.95055,10.156000137329102,0.09399999678134918,0.248383,0.0102236,10.04,0.017056768760085106
